Output_Dimension,Red_67_3_0_0_45,Red_83_3_0_0_45,Red_100_3_0_0_45,Red_116_3_0_0_45,Red_133_3_0_0_45,Green_67_3_0_0_45,Green_83_3_0_0_45,Green_100_3_0_0_45,Green_116_3_0_0_45,Green_133_3_0_0_45,Blue_67_3_0_0_45,Blue_83_3_0_0_45,Blue_100_3_0_0_45,Blue_116_3_0_0_45,Blue_133_3_0_0_45
0,69.86268891852453,79.88039238757291,82.61608172031778,80.66723495372625,74.95200706696217,60.95586133529482,70.13868965929939,76.00269458139451,73.3226830616886,66.99986025049196,67.30809039091147,77.68312743125158,83.4700634607208,82.39991240026866,78.1555483855273
1,69.91669879847676,80.02335274963944,82.89840211028796,81.10341730343778,75.48829947444023,61.04658521319102,70.22482023119508,76.1390237736892,73.5296041146226,67.27490209199226,67.39871529612452,77.799090965857,83.61125204950844,82.59616225095424,78.38374694283807
2,69.97070867842899,80.16631311170597,83.18072250025814,81.5395996531493,76.02459188191828,61.137309091087225,70.31095080309079,76.27535296598391,73.73652516755662,67.54994393349256,67.48934020133755,77.91505450046243,83.75244063829608,82.79241210163983,78.61194550014883
3,70.02471855838121,80.3092734737725,83.46304289022834,81.97578200286083,76.56088428939634,61.22803296898343,70.39708137498648,76.41168215827861,73.94344622049063,67.82498577499285,67.5799651065506,78.03101803506787,83.89362922708371,82.9886619523254,78.84014405745961
4,70.07872843833344,80.45223383583904,83.74536328019852,82.41196435257234,77.0971766968744,61.31875684687963,70.48321194688218,76.5480113505733,74.15036727342465,68.10002761649314,67.67059001176364,78.1469815696733,84.03481781587135,83.18491180301099,79.06834261477039
5,70.00528097240947,80.4575410431607,83.90020685425645,82.73035298429144,77.51396526819524,61.47656797892942,70.62484347898955,76.7268192939804,74.3980131517252,68.41111336219731,67.80652169082269,78.30178133615017,84.1984131711256,83.40265657347568,79.30953093112038
6,69.93183350648548,80.46284825048238,84.0550504283144,83.04874161601055,77.93075383951609,61.63437911097921,70.7664750110969,76.90562723738749,74.64565903002573,68.72219910790149,67.94245336988173,78.45658110262704,84.36200852637984,83.62040134394039,79.55071924747037
7,69.8583860405615,80.46815545780404,84.20989400237235,83.36713024772965,78.34754241083692,61.792190243029005,70.90810654320427,77.08443518079459,74.89330490832627,69.03328485360566,68.07838504894079,78.61138086910393,84.52560388163407,83.83814611440508,79.79190756382036
8,69.78493857463752,80.47346266512571,84.36473757643029,83.68551887944875,78.76433098215777,61.95000137507879,71.04973807531162,77.26324312420168,75.14095078662682,69.34437059930984,68.21431672799984,78.7661806355808,84.68919923688831,84.05589088486977,80.03309588017035
9,69.59898026049775,80.3637603696075,84.43029318774938,83.94840492845319,79.15880689218616,62.12049723560331,71.20194183698426,77.458720663458,75.42955513072626,69.73321155641003,68.35404344158209,78.92103556715975,84.85650525650962,84.29754810458753,80.32270942113745
10,69.41302194635797,80.2540580740893,84.49584879906847,84.21129097745762,79.55328280221455,62.29099309612782,71.3541455986569,77.65419820271431,75.71815947482571,70.12205251351021,68.49377015516434,79.07589049873872,85.02381127613091,84.53920532430529,80.61232296210454
11,69.2270636322182,80.1443557785711,84.56140441038755,84.47417702646206,79.94775871224296,62.46148895665233,71.50634936032952,77.84967574197064,76.00676381892515,70.5108934706104,68.63349686874659,79.23074543031768,85.19111729575222,84.78086254402305,80.90193650307165
12,69.04110531807844,80.03465348305289,84.62696002170664,84.7370630754665,80.34223462227135,62.63198481717684,71.65855312200216,78.04515328122696,76.2953681630246,70.8997344277106,68.77322358232884,79.38560036189664,85.35842331537351,85.0225197637408,81.19155004403875
13,68.7893009645821,79.84344961670556,84.60185016523762,84.89564814144856,80.61117098497267,62.838209816322724,71.8326217341385,78.24365354357722,76.57236349814009,71.25488248745775,68.92023695689599,79.54053804112874,85.50665843470166,85.23394813001619,81.43353987687205
